sales_person,country,product,date,sales,boxes_shipped,year,year_month_period,year_month,month_name,month_num
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,2022,2022-01,2022-01,January,1
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,2022,2022-08,2022-08,August,8
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,2022,2022-07,2022-07,July,7
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,2022,2022-04,2022-04,April,4
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,2022,2022-02,2022-02,February,2
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,2022,2022-06,2022-06,June,6
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,2022,2022-01,2022-01,January,1
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,2022,2022-03,2022-03,March,3
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,2022,2022-04,2022-04,April,4
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,2022,2022-07,2022-07,July,7
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,2022,2022-01,2022-01,January,1
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,2022,2022-03,2022-03,March,3
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,2022,2022-01,2022-01,January,1
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,2022,2022-07,2022-07,July,7
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,2022,2022-08,2022-08,August,8
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,2022,2022-01,2022-01,January,1
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,2022,2022-02,2022-02,February,2
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,2022,2022-04,2022-04,April,4
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,2022,2022-02,2022-02,February,2
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,2022,2022-06,2022-06,June,6
